customer_id,company_name,business_sector,region,segment,company_scale,employee_count,tenure_years,total_mrr,product_count,months_available,potential_score,stability_score,churn_risk_index,assigned_score,score_category,confidence_score,priority_score,primary_action,secondary_action,timing,channel,expected_success_rate,rationale
SME-2024-00001,CV Sentosa Sinergi,Konstruksi,Bandar Lampung,Pelanggan Tetap,Kecil,12,5.533333333333334,4042891.0,1.0,12,52.9,79.6,16.6,79.6,Stable,85,0.228,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00002,Warung Mitra Mulia Sentosa,Kuliner & F&B,Bandar Lampung,Pelanggan Tetap,Mikro,4,2.533333333333333,1908333.0,1.0,12,55.0,78.3,14.4,78.3,Stable,82,0.167,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00003,Toko Bintang Solusi Mandiri,Pertanian & Agribisnis,Denpasar,Pelanggan Tetap,Mikro,2,2.875,1645650.0,1.0,12,49.8,84.3,15.7,84.3,Highly Stable,85,0.13,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00004,Kios Sriwijaya Makmur Lestari,Pertanian & Agribisnis,Surabaya,Pelanggan Tetap,Mikro,5,3.25,1587796.0,1.0,12,57.6,79.2,15.3,79.2,Stable,85,0.153,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00005,CV Mega Network Abadi,Media & Kreatif,Semarang,Pelanggan Tetap,Kecil,9,5.2250000000000005,4161364.0,1.0,12,64.8,80.9,13.7,80.9,Highly Stable,85,0.224,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00006,Warung Bintang Sakti,Pertanian & Agribisnis,Malang,Pelanggan Tetap,Mikro,1,2.0416666666666665,1587910.0,1.0,12,51.5,75.7,16.0,75.7,Stable,85,0.171,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00007,Toko Jaya Bahagia Pratama,Kuliner & F&B,Semarang,Pelanggan Tetap,Mikro,2,5.583333333333333,4766079.0,1.0,12,46.6,80.5,16.9,80.5,Highly Stable,82,0.245,Upsell Premium Services,Invite to beta program / exclusive features,Quarterly business review,Executive Visit + Proposal,65,Strong loyalty foundation. Maximize lifetime value through expansion.
SME-2024-00008,CV Mandiri Digital,Media & Kreatif,Denpasar,Pelanggan Tetap,Menengah,81,5.541666666666667,995323.0,1.0,12,75.9,67.4,35.2,67.4,Stable,85,0.194,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00009,Kios Permata Utama Lestari,Media & Kreatif,Yogyakarta,Pelanggan Tetap,Mikro,1,1.6500000000000001,3805394.0,2.0,12,52.1,69.5,16.8,69.5,Stable,82,0.27,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
SME-2024-00010,PT Bintang Sakti,Kuliner & F&B,Jakarta,Pelanggan Tetap,Besar,180,5.641666666666667,849268.0,1.0,12,66.1,76.0,19.4,76.0,Stable,85,0.147,Proactive Health Check,Usage optimization consultation,Bi-annual touchpoint,Phone Call + Usage Report,50,Stable but monitor for early decline signals.
