enrich_id,customer_id,scraped_date,web_context_summary,industry_growth_sentiment,competitor_mention_count,recent_news_flag,digital_presence_score,business_health_indicator,enrichment_tier
ENR-00001-001,SME-2024-00001,2026-06-15,Perusahaan Konstruksi menunjukkan tren stable berdasarkan aktivitas digital,Netral,0,False,43,Stable,Tier-2 Sector-Regional Proxy
ENR-00002-001,SME-2024-00002,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Netral,1,False,75,Stable,Tier-2 Sector-Regional Proxy
ENR-00003-001,SME-2024-00003,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Netral,2,False,51,Stable,Tier-2 Sector-Regional Proxy
ENR-00004-001,SME-2024-00004,2026-06-15,Penambahan cabang dan peningkatan aktivitas digital terdeteksi,Netral,0,False,56,Growing,Tier-2 Sector-Regional Proxy
ENR-00005-001,SME-2024-00005,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Positif,0,True,68,Stable,Tier-2 Sector-Regional Proxy
ENR-00006-001,SME-2024-00006,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Netral,0,False,53,Stable,Tier-2 Sector-Regional Proxy
ENR-00007-001,SME-2024-00007,2026-06-15,Penurunan aktivitas digital dan eksposur publik teramati,Positif,0,False,47,Declining,Tier-2 Sector-Regional Proxy
ENR-00008-001,SME-2024-00008,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Positif,2,False,88,Stable,Tier-1 Entity Lookup
ENR-00009-001,SME-2024-00009,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Netral,1,False,59,Stable,Tier-2 Sector-Regional Proxy
ENR-00010-001,SME-2024-00010,2026-06-15,Menang tender proyek infrastruktur pemerintah,Negatif,2,False,64,Growing,Tier-1 Entity Lookup
ENR-00011-001,SME-2024-00011,2026-06-15,Konten negatif terkait keluhan pelanggan terdeteksi di kanal publik,Netral,3,False,39,Declining,Tier-2 Sector-Regional Proxy
ENR-00012-001,SME-2024-00012,2026-06-15,Penambahan cabang dan peningkatan aktivitas digital terdeteksi,Positif,0,False,67,Growing,Tier-1 Entity Lookup
ENR-00013-001,SME-2024-00013,2026-06-15,Kolaborasi strategis dengan ekosistem Telkom Group,Netral,1,True,52,Growing,Tier-2 Sector-Regional Proxy
ENR-00014-001,SME-2024-00014,2026-06-15,Penambahan cabang dan peningkatan aktivitas digital terdeteksi,Positif,6,False,63,Growing,Tier-1 Entity Lookup
ENR-00015-001,SME-2024-00015,2026-06-15,Perusahaan Pertanian & Agribisnis menunjukkan tren stable berdasarkan aktivitas digital,Positif,2,True,42,Stable,Tier-2 Sector-Regional Proxy
ENR-00016-001,SME-2024-00016,2026-06-15,Perusahaan Transportasi & Logistik menunjukkan tren stable berdasarkan aktivitas digital,Netral,1,False,65,Stable,Tier-1 Entity Lookup
ENR-00017-001,SME-2024-00017,2026-06-15,Perusahaan Pendidikan & Training menunjukkan tren stable berdasarkan aktivitas digital,Positif,1,True,35,Stable,Tier-2 Sector-Regional Proxy
ENR-00018-001,SME-2024-00018,2026-06-15,Ekspansi bisnis dan rekrutmen karyawan baru teramati di semester berjalan,Positif,4,True,63,Growing,Tier-2 Sector-Regional Proxy
ENR-00019-001,SME-2024-00019,2026-06-15,Perusahaan Properti & Real Estate menunjukkan tren stable berdasarkan aktivitas digital,Positif,0,False,20,Stable,Tier-2 Sector-Regional Proxy
ENR-00020-001,SME-2024-00020,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Netral,2,True,64,Stable,Tier-2 Sector-Regional Proxy
ENR-00021-001,SME-2024-00021,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Positif,2,False,57,Stable,Tier-2 Sector-Regional Proxy
ENR-00022-001,SME-2024-00022,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Negatif,3,True,64,Stable,Tier-2 Sector-Regional Proxy
ENR-00023-001,SME-2024-00023,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Negatif,0,False,38,Stable,Tier-2 Sector-Regional Proxy
ENR-00024-001,SME-2024-00024,2026-06-15,Perusahaan Kuliner & F&B menunjukkan tren stable berdasarkan aktivitas digital,Netral,0,False,69,Stable,Tier-2 Sector-Regional Proxy
ENR-00025-001,SME-2024-00025,2026-06-15,Perusahaan Teknologi Informasi menunjukkan tren stable berdasarkan aktivitas digital,Netral,0,False,95,Stable,Tier-1 Entity Lookup
ENR-00026-001,SME-2024-00026,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Netral,4,False,28,Stable,Tier-2 Sector-Regional Proxy
ENR-00027-001,SME-2024-00027,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Netral,0,False,34,Stable,Tier-2 Sector-Regional Proxy
ENR-00028-001,SME-2024-00028,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Positif,1,False,69,Stable,Tier-2 Sector-Regional Proxy
ENR-00029-001,SME-2024-00029,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Positif,0,True,68,Stable,Tier-1 Entity Lookup
ENR-00030-001,SME-2024-00030,2026-06-15,Perusahaan Teknologi Informasi menunjukkan tren stable berdasarkan aktivitas digital,Netral,0,True,28,Stable,Tier-2 Sector-Regional Proxy
ENR-00031-001,SME-2024-00031,2026-06-15,Penambahan cabang dan peningkatan aktivitas digital terdeteksi,Negatif,1,True,46,Growing,Tier-2 Sector-Regional Proxy
ENR-00032-001,SME-2024-00032,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Positif,2,False,47,Stable,Tier-2 Sector-Regional Proxy
ENR-00033-001,SME-2024-00033,2026-06-15,Ekspansi bisnis dan rekrutmen karyawan baru teramati di semester berjalan,Positif,0,False,58,Growing,Tier-2 Sector-Regional Proxy
ENR-00034-001,SME-2024-00034,2026-06-15,Perusahaan Perdagangan Eceran menunjukkan tren stable berdasarkan aktivitas digital,Netral,0,True,40,Stable,Tier-2 Sector-Regional Proxy
ENR-00035-001,SME-2024-00035,2026-06-15,Ekspansi bisnis dan rekrutmen karyawan baru teramati di semester berjalan,Netral,0,False,28,Growing,Tier-2 Sector-Regional Proxy
ENR-00036-001,SME-2024-00036,2026-06-15,Penurunan aktivitas digital dan eksposur publik teramati,Netral,1,False,42,Declining,Tier-2 Sector-Regional Proxy
ENR-00037-001,SME-2024-00037,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Negatif,3,False,57,Stable,Tier-1 Entity Lookup
ENR-00038-001,SME-2024-00038,2026-06-15,Perusahaan Pendidikan & Training menunjukkan tren stable berdasarkan aktivitas digital,Positif,3,False,58,Stable,Tier-1 Entity Lookup
ENR-00039-001,SME-2024-00039,2026-06-15,Operasional bisnis berjalan stabil tanpa anomali signifikan,Positif,1,True,75,Stable,Tier-2 Sector-Regional Proxy
ENR-00040-001,SME-2024-00040,2026-06-15,Ekspansi bisnis dan rekrutmen karyawan baru teramati di semester berjalan,Netral,2,True,50,Growing,Tier-2 Sector-Regional Proxy
ENR-00041-001,SME-2024-00041,2026-06-15,Kolaborasi strategis dengan ekosistem Telkom Group,Positif,1,False,35,Growing,Tier-2 Sector-Regional Proxy
ENR-00042-001,SME-2024-00042,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Netral,1,False,62,Stable,Tier-1 Entity Lookup
ENR-00043-001,SME-2024-00043,2026-06-15,Penambahan cabang dan peningkatan aktivitas digital terdeteksi,Netral,1,False,37,Growing,Tier-2 Sector-Regional Proxy
ENR-00044-001,SME-2024-00044,2026-06-15,"Pertumbuhan digital moderat, tidak ada indikator risiko",Positif,5,True,95,Stable,Tier-1 Entity Lookup
