customer_id,company_name,business_sector,company_scale,establishment_year,region,employee_count,registration_date,current_status,segment
SME-2024-00001,CV Sentosa Sinergi,Konstruksi,Kecil,2020,Bandar Lampung,12,2020-12-16,Aktif,Pelanggan Tetap
SME-2024-00002,Warung Mitra Mulia Sentosa,Kuliner & F&B,Mikro,2015,Bandar Lampung,4,2023-12-18,Aktif,Pelanggan Tetap
SME-2024-00003,Toko Bintang Solusi Mandiri,Pertanian & Agribisnis,Mikro,2020,Denpasar,2,2023-08-15,Aktif,Pelanggan Tetap
SME-2024-00004,Kios Sriwijaya Makmur Lestari,Pertanian & Agribisnis,Mikro,2012,Surabaya,5,2023-04-01,Aktif,Pelanggan Tetap
SME-2024-00005,CV Mega Network Abadi,Media & Kreatif,Kecil,2018,Semarang,9,2021-04-08,Aktif,Pelanggan Tetap
SME-2024-00006,Warung Bintang Sakti,Pertanian & Agribisnis,Mikro,2012,Malang,1,2024-06-15,Aktif,Pelanggan Tetap
SME-2024-00007,Toko Jaya Bahagia Pratama,Kuliner & F&B,Mikro,2015,Semarang,2,2020-11-28,Aktif,Pelanggan Tetap
SME-2024-00008,CV Mandiri Digital,Media & Kreatif,Menengah,2017,Denpasar,81,2020-12-13,Aktif,Pelanggan Tetap
SME-2024-00009,Kios Permata Utama Lestari,Media & Kreatif,Mikro,2022,Yogyakarta,1,2024-11-03,Aktif,Pelanggan Tetap
SME-2024-00010,PT Bintang Sakti,Kuliner & F&B,Besar,2020,Jakarta,180,2020-11-06,Aktif,Pelanggan Tetap
SME-2024-00011,Toko Abadi Bahagia,Pendidikan & Training,Kecil,2019,Jakarta,16,2024-11-27,Aktif,Pelanggan Tetap
SME-2024-00012,CV Citra Data,Kuliner & F&B,Menengah,2016,Malang,56,2020-08-23,Aktif,Pelanggan Tetap
SME-2024-00013,Toko Berkah Persada Mandiri,Kuliner & F&B,Kecil,2014,Medan,7,2020-12-13,Aktif,Pelanggan Tetap
SME-2024-00014,PT Mega Indah Mandiri,Manufaktur,Menengah,2018,Palembang,34,2024-06-14,Aktif,Pelanggan Tetap
SME-2024-00015,Warung Sentosa Solusi Pratama,Pertanian & Agribisnis,Mikro,2022,Tangerang,4,2024-10-03,Aktif,Pelanggan Tetap
SME-2024-00016,PT Duta Cemerlang Lestari,Transportasi & Logistik,Menengah,2013,Palembang,51,2023-08-01,Aktif,Pelanggan Tetap
SME-2024-00017,UD Bumi Optima Sentosa,Pendidikan & Training,Kecil,2018,Medan,10,2022-03-31,Aktif,Pelanggan Tetap
SME-2024-00018,UD Surya Indah Sentosa,Pertanian & Agribisnis,Kecil,2010,Malang,13,2021-02-28,Aktif,Pelanggan Tetap
SME-2024-00019,CV Karya Makmur,Properti & Real Estate,Kecil,2015,Semarang,15,2020-12-19,Aktif,Pelanggan Tetap
SME-2024-00020,Toko Bumi Mulia,Kesehatan,Kecil,2020,Jakarta,20,2021-03-11,Aktif,Pelanggan Tetap
SME-2024-00021,CV Tirta Andalan Pratama,Properti & Real Estate,Kecil,2023,Semarang,6,2020-01-03,Aktif,Pelanggan Tetap
SME-2024-00022,CV Tirta Teknologi Abadi,Kesehatan,Kecil,2021,Jakarta,11,2020-08-31,Aktif,Pelanggan Tetap
SME-2024-00023,Warung Mitra Mulia Abadi,Teknologi Informasi,Mikro,2015,Jakarta,4,2021-01-28,Aktif,Pelanggan Tetap
SME-2024-00024,UD Jaya Pratama Pratama,Kuliner & F&B,Mikro,2011,Makassar,3,2024-06-23,Aktif,Pelanggan Tetap
SME-2024-00025,CV Jaya Data Lestari,Teknologi Informasi,Menengah,2012,Batam,78,2023-03-19,Aktif,Pelanggan Tetap
SME-2024-00026,Warung Garuda Andalan,Manufaktur,Mikro,2013,Surabaya,1,2023-09-06,Aktif,Pelanggan Tetap
SME-2024-00027,CV Surya Network,Transportasi & Logistik,Kecil,2023,Bandung,7,2021-05-26,Aktif,Pelanggan Tetap
SME-2024-00028,Kios Tirta Teknologi Jaya,Manufaktur,Mikro,2023,Batam,5,2020-06-06,Aktif,Pelanggan Tetap
SME-2024-00029,PT Karya Makmur Mandiri,Konstruksi,Menengah,2012,Palembang,43,2023-11-30,Aktif,Pelanggan Tetap
SME-2024-00030,Toko Tirta Sakti Pratama,Teknologi Informasi,Kecil,2015,Bandar Lampung,8,2024-09-25,Aktif,Pelanggan Tetap
SME-2024-00031,CV Bukit Digital Abadi,Properti & Real Estate,Kecil,2011,Surabaya,7,2022-10-08,Aktif,Pelanggan Tetap
SME-2024-00032,CV Mandiri Persada Sentosa,Properti & Real Estate,Kecil,2014,Semarang,8,2022-10-14,Aktif,Pelanggan Tetap
SME-2024-00033,Toko Tirta Persada Pratama,Kuliner & F&B,Kecil,2020,Palembang,11,2023-09-25,Aktif,Pelanggan Tetap
SME-2024-00034,UD Garuda Sakti Mandiri,Perdagangan Eceran,Mikro,2020,Medan,5,2024-05-26,Aktif,Pelanggan Tetap
SME-2024-00035,CV Sumber Sinergi Pratama,Pertanian & Agribisnis,Kecil,2012,Jakarta,5,2021-09-09,Aktif,Pelanggan Tetap
SME-2024-00036,Toko Mega Lestari Mandiri,Pertanian & Agribisnis,Mikro,2021,Malang,5,2020-03-05,Aktif,Pelanggan Tetap
SME-2024-00037,PT Berkah Persada Pratama,Teknologi Informasi,Menengah,2022,Yogyakarta,51,2022-05-02,Aktif,Pelanggan Tetap
SME-2024-00038,PT Bumi Makmur Sentosa,Pendidikan & Training,Menengah,2017,Bandung,51,2023-04-22,Aktif,Pelanggan Tetap
SME-2024-00039,Toko Bumi Teknologi Abadi,Transportasi & Logistik,Kecil,2010,Bandung,5,2021-12-06,Aktif,Pelanggan Tetap
SME-2024-00040,UD Bumi Makmur Abadi,Perdagangan Eceran,Mikro,2018,Palembang,5,2023-11-26,Aktif,Pelanggan Tetap
SME-2024-00041,Kios Permata Andalan Jaya,Transportasi & Logistik,Mikro,2017,Batam,4,2023-08-14,Aktif,Pelanggan Tetap
SME-2024-00042,CV Garuda Solusi Pratama,Pertanian & Agribisnis,Menengah,2019,Bandung,34,2022-09-22,Aktif,Pelanggan Tetap
SME-2024-00043,CV Nusantara Mulia Pratama,Pertanian & Agribisnis,Kecil,2014,Yogyakarta,8,2021-12-07,Aktif,Pelanggan Tetap
SME-2024-00044,PT Nusantara Andalan Lestari,Jasa Keuangan,Menengah,2011,Surabaya,49,2023-04-12,Aktif,Pelanggan Tetap
SME-2024-00045,Kios Abadi Utama Pratama,Kuliner & F&B,Mikro,2014,Surabaya,2,2020-06-17,Aktif,Pelanggan Tetap
SME-2024-00046,CV Nusantara Optima Lestari,Media & Kreatif,Menengah,2010,Medan,80,2021-06-21,Aktif,Pelanggan Tetap
SME-2024-00047,CV Berkah Mulia Abadi,Kesehatan,Kecil,2012,Medan,10,2022-04-16,Aktif,Pelanggan Tetap
SME-2024-00048,Warung Tirta Digital Sentosa,Pertanian & Agribisnis,Mikro,2013,Yogyakarta,4,2023-10-12,Aktif,Pelanggan Tetap
SME-2024-00049,Warung Mandiri Persada Sentosa,Manufaktur,Mikro,2023,Yogyakarta,2,2024-01-16,Aktif,Pelanggan Tetap
SME-2024-00050,UD Sriwijaya Bahagia Abadi,Kesehatan,Kecil,2012,Semarang,20,2023-10-23,Aktif,Pelanggan Tetap
SME-2024-00051,CV Sumber Data,Kesehatan,Menengah,2011,Tangerang,51,2023-08-29,Aktif,Pelanggan Tetap
SME-2024-00052,CV Berkah Persada Jaya,Kuliner & F&B,Menengah,2022,Malang,62,2023-02-16,Aktif,Pelanggan Tetap
SME-2024-00053,PT Nusantara Bahagia Mandiri,Pendidikan & Training,Menengah,2021,Jakarta,32,2024-03-28,Aktif,Pelanggan Tetap
SME-2024-00054,Warung Bukit Makmur,Media & Kreatif,Mikro,2010,Tangerang,5,2024-10-09,Aktif,Pelanggan Tetap
SME-2024-00055,PT Karya Indah Pratama,Manufaktur,Menengah,2019,Bandung,94,2020-11-04,Aktif,Pelanggan Tetap
SME-2024-00056,PT Mandiri Bahagia Lestari,Jasa Keuangan,Menengah,2018,Batam,83,2022-07-02,Aktif,Pelanggan Tetap
SME-2024-00057,UD Tirta Indah,Pendidikan & Training,Kecil,2023,Semarang,9,2020-03-14,Aktif,Pelanggan Tetap
SME-2024-00058,Warung Berkah Utama Sentosa,Transportasi & Logistik,Mikro,2010,Tangerang,4,2024-11-06,Aktif,Pelanggan Tetap
SME-2024-00059,PT Garuda Solusi Pratama,Perdagangan Eceran,Menengah,2021,Tangerang,38,2023-10-20,Aktif,Pelanggan Tetap
SME-2024-00060,Toko Sriwijaya Sinergi Abadi,Transportasi & Logistik,Mikro,2014,Malang,3,2022-01-10,Aktif,Pelanggan Tetap
SME-2024-00061,CV Mandiri Data Jaya,Jasa Keuangan,Kecil,2016,Makassar,9,2024-09-20,Aktif,Pelanggan Tetap
SME-2024-00062,CV Berkah Cemerlang Mandiri,Transportasi & Logistik,Kecil,2011,Denpasar,16,2022-12-18,Aktif,Pelanggan Tetap
SME-2024-00063,CV Jaya Indah Sentosa,Manufaktur,Kecil,2022,Malang,14,2021-10-03,Aktif,Pelanggan Tetap
SME-2024-00064,UD Abadi Pratama Sentosa,Konstruksi,Kecil,2012,Denpasar,20,2020-06-10,Aktif,Pelanggan Tetap
SME-2024-00065,PT Sentosa Optima Pratama,Perdagangan Eceran,Menengah,2013,Semarang,50,2022-01-09,Aktif,Pelanggan Tetap
SME-2024-00066,Toko Bumi Sinergi,Pertanian & Agribisnis,Kecil,2023,Medan,17,2020-12-24,Aktif,Pelanggan Tetap
SME-2024-00067,Kios Nusantara Utama,Pertanian & Agribisnis,Mikro,2010,Denpasar,5,2023-12-17,Aktif,Pelanggan Tetap
SME-2024-00068,UD Citra Lestari Lestari,Properti & Real Estate,Mikro,2015,Malang,4,2024-11-10,Aktif,Pelanggan Tetap
SME-2024-00069,PT Surya Pratama Pratama,Kesehatan,Besar,2012,Medan,119,2020-05-30,Aktif,Pelanggan Tetap
SME-2024-00070,Toko Duta Persada Lestari,Properti & Real Estate,Mikro,2015,Jakarta,1,2021-07-04,Aktif,Pelanggan Tetap
SME-2024-00071,CV Bintang Sakti Abadi,Manufaktur,Menengah,2021,Bandar Lampung,27,2023-03-03,Aktif,Pelanggan Tetap
SME-2024-00072,CV Karya Sejahtera Mandiri,Media & Kreatif,Kecil,2015,Malang,5,2022-05-24,Aktif,Pelanggan Tetap
SME-2024-00073,UD Sumber Optima Sentosa,Kesehatan,Mikro,2012,Semarang,2,2021-07-10,Aktif,Pelanggan Tetap
SME-2024-00074,UD Bumi Network Mandiri,Kesehatan,Kecil,2022,Batam,11,2022-03-15,Aktif,Pelanggan Tetap
SME-2024-00075,UD Duta Solusi Mandiri,Perdagangan Eceran,Kecil,2014,Jakarta,19,2021-06-11,Aktif,Pelanggan Tetap
SME-2024-00076,CV Permata Persada Abadi,Konstruksi,Kecil,2018,Makassar,19,2021-12-11,Aktif,Pelanggan Tetap
SME-2024-00077,Kios Tirta Pratama,Transportasi & Logistik,Mikro,2014,Medan,5,2022-11-28,Aktif,Pelanggan Tetap
SME-2024-00078,UD Bumi Sinergi Jaya,Kesehatan,Kecil,2014,Yogyakarta,13,2022-01-01,Aktif,Pelanggan Tetap
SME-2024-00079,UD Mandiri Persada Jaya,Pendidikan & Training,Mikro,2017,Tangerang,2,2020-01-10,Aktif,Pelanggan Tetap
SME-2024-00080,UD Mitra Makmur Mandiri,Kuliner & F&B,Kecil,2011,Palembang,5,2024-04-14,Aktif,Pelanggan Tetap
SME-2024-00081,CV Tirta Data,Kesehatan,Kecil,2016,Makassar,9,2021-08-25,Aktif,Pelanggan Tetap
SME-2024-00082,Toko Sentosa Lestari Pratama,Media & Kreatif,Kecil,2011,Makassar,6,2022-10-24,Aktif,Pelanggan Tetap
SME-2024-00083,Toko Mitra Andalan Jaya,Konstruksi,Kecil,2015,Surabaya,12,2020-11-24,Aktif,Pelanggan Tetap
SME-2024-00084,PT Tirta Pratama Lestari,Transportasi & Logistik,Menengah,2013,Denpasar,75,2024-08-22,Aktif,Pelanggan Tetap
SME-2024-00085,CV Abadi Teknologi Sentosa,Teknologi Informasi,Menengah,2014,Malang,96,2020-12-25,Aktif,Pelanggan Tetap
SME-2024-00086,Warung Duta Data,Konstruksi,Mikro,2020,Makassar,4,2021-03-11,Aktif,Pelanggan Tetap
SME-2024-00087,Warung Berkah Network Lestari,Kuliner & F&B,Mikro,2019,Batam,3,2022-01-28,Aktif,Pelanggan Tetap
SME-2024-00088,CV Jaya Persada Lestari,Media & Kreatif,Menengah,2018,Malang,65,2023-08-02,Aktif,Pelanggan Tetap
SME-2024-00089,Toko Karya Konektifitas Jaya,Manufaktur,Kecil,2015,Tangerang,12,2024-05-13,Aktif,Pelanggan Tetap
SME-2024-00090,CV Citra Sakti Jaya,Teknologi Informasi,Menengah,2012,Denpasar,71,2021-07-10,Aktif,Pelanggan Tetap
SME-2024-00091,Toko Mega Teknologi Lestari,Kuliner & F&B,Mikro,2019,Medan,3,2023-07-31,Aktif,Pelanggan Tetap
SME-2024-00092,Warung Mega Cemerlang,Transportasi & Logistik,Mikro,2021,Surabaya,2,2021-06-19,Aktif,Pelanggan Tetap
SME-2024-00093,Toko Abadi Bahagia,Pendidikan & Training,Kecil,2018,Batam,11,2021-06-20,Aktif,Pelanggan Tetap
SME-2024-00094,UD Permata Andalan Jaya,Pertanian & Agribisnis,Mikro,2013,Batam,3,2021-02-19,Aktif,Pelanggan Tetap
SME-2024-00095,Toko Mitra Konektifitas Jaya,Media & Kreatif,Kecil,2021,Semarang,14,2023-05-23,Aktif,Pelanggan Tetap
SME-2024-00096,Toko Mitra Optima Sentosa,Perdagangan Eceran,Mikro,2014,Semarang,1,2021-03-08,Aktif,Pelanggan Tetap
